label,text
FAKE,A Home Ministry officer is going door to door verifying identification cards.
FAKE,"EPF will allow special withdrawals of RM500 to RM10,000 starting 15 April 2025."
FAKE,New visa restrictions have been imposed on Malaysian citizens traveling abroad.
FAKE,Wang Ihsan aid is being distributed nationwide this week.
FAKE,"BERNAMA TV announced a special EPF withdrawal of RM10,000 starting 7 January 2025."
FAKE,"An RM10,000 EPF withdrawal is available for all contributors from 17 December 2024."
FAKE,"Flood victims can now report cases and claim RM5,000 assistance using an online form."
FAKE,A Malaysian citizenship certificate has been issued to a Chinese national this month.
FAKE,House arrest orders now come with an official government addendum form.
FAKE,An electric substation explosion on Gunung Tebu disrupted power supply in Besut.
FAKE,A new pension scheme for Malaysians has been launched starting January 2025.
FAKE,EPF contributors above 50 years old must withdraw their retirement savings before 31 March 2025.
FAKE,"FELDA is hiring 5,000 new workers through a fast-track recruitment program."
FAKE,"RM1,200 in government aid will be automatically credited into all MyKad accounts."
FAKE,RTM released a documentary encouraging responsible gambling.
FAKE,There is a large hidden cave beneath the Kuala Lumpur city center.
FAKE,Touch 'n Go users can claim RM100 eMadani aid using a new government link.
FAKE,All civil servants will receive a 25% salary increment by mid-2025.
FAKE,JPN is issuing interview receipts as proof of identity verification.
FAKE,PDRM has opened recruitment for 2025 via WhatsApp applications.
FAKE,A tax notice signed by the JKDM Director General is being issued to defaulters via email.
FAKE,The United States has imposed sanctions on Malaysia as the first Southeast Asian nation.
FAKE,"Civil servant salaries will be increased by RM1,000 starting July 2025."
FAKE,A Chinese national has been found holding a genuine Malaysian MyKad.
FAKE,"Ramadan 2024 assistance of RM1,000 is now available to all Muslim households."
FAKE,A nationwide arrest warrant was issued by the Chief Registrar of the Federal Court of Malaysia.
FAKE,Senior citizens are now entitled to monthly RM500 aid through a simple online form.
FAKE,JPNIN is co-organizing the International Youth Rationalism Forum 2023.
FAKE,"Special financial aid of RM1,000 is being distributed nationwide starting 28 December 2023."
FAKE,PDRM warns the public of a new SIM swap fraud scam affecting thousands.
FAKE,JIM will begin prosecuting public transport drivers without MySejahtera check-ins.
FAKE,A new COVID-19 variant named Omicron XBB has been confirmed spreading rapidly in Malaysia.
FAKE,"MyKad users are now receiving RM1,000 as part of a government aid program."
FAKE,Sumbangan Asas Rahmah RM600 can now be claimed online via a new verification link.
FAKE,The Army Chief allowed political parties to campaign in military camps.
FAKE,Bananas in Malaysia contain dangerous Helicobacter worms.
FAKE,5G towers cause COVID-19.
FAKE,Vaccines contain microchips to track people.
FAKE,The earth is flat and surrounded by an ice wall.
FAKE,Malaysia is located in Europe.
FAKE,Eating durian after drinking alcohol is always fatal.
FAKE,You can cure diabetes by soaking your feet in vinegar.
FAKE,COVID-19 can be cured by inhaling steam with salt and lime.
FAKE,Petrol stations are full of radioactive gas.
FAKE,Malaysia uses cloned ICs to give citizenship to foreigners.
FAKE,Wearing bras causes breast cancer.
FAKE,Malaysia is banning the use of smartphones starting 2026.
FAKE,The haze in Malaysia is caused by UFO landings in Sumatra.
FAKE,You can detox your liver completely by drinking lemon water daily.
FAKE,Malaysia has legalized all drugs as of 2025.
FAKE,EPF savings will be nationalized by the government soon.
FAKE,Eating pineapple during pregnancy causes miscarriage.
FAKE,Bluetooth headphones can fry your brain with microwaves.
FAKE,Drinking chlorophyll water can make your blood 'greener' and immune to disease.
FAKE,The government is secretly replacing birds with surveillance drones.
FAKE,Malaysia plans to switch to driving on the right side of the road in 2026.
FAKE,Rainbows are government-created illusions to distract the public.
FAKE,Eating instant noodles more than twice a week shortens your lifespan by five years.
FAKE,Wearing red during thunderstorms attracts lightning.
FAKE,Aliens are controlling politicians using 6G frequency bands.
FAKE,Coconut water can reverse aging if drunk at 3:33 AM.
FAKE,Mount Kinabalu is actually a dormant volcano that erupts every 777 years.
FAKE,All ATM machines record your facial expressions for government profiling.
FAKE,Putting onions in your socks cures flu overnight.
FAKE,Plastic containers release 'memory-erasing' toxins when microwaved.
FAKE,Sleeping with your head pointing north drains your body’s magnetic energy.
FAKE,There are secret tunnels connecting all KL malls used by the elite.
FAKE,Touching a frog during a full moon can make you see ghosts.
FAKE,COVID-19 test kits were designed to collect DNA for cloning purposes.
FAKE,Eating bananas at night causes paralysis in some people.
FAKE,The moon landing was filmed in Langkawi.
FAKE,Every durian has a 'vibration frequency' that can affect your emotions.
FAKE,Wearing socks while sleeping reduces brain oxygen.
FAKE,Cloud seeding causes memory loss in rural areas.
FAKE,The MRT trains in Malaysia are powered by radioactive cores.
FAKE,Eating ice cream during menstruation can cause permanent infertility.
FAKE,Facial recognition cameras in malls are secretly scanning your thoughts.
FAKE,Using a fan while sleeping at night can cause death by 'air poisoning.'
FAKE,Chewing gum can stick to your organs if swallowed.
FAKE,The KL Tower transmits secret subliminal messages during Merdeka.
FAKE,You can charge your phone faster by putting it in the fridge.
FAKE,All rice imported into Malaysia is made of plastic.
FAKE,Taking selfies too often causes facial asymmetry.
FAKE,Listening to foreign music invites spiritual possession.
FAKE,The Penang Bridge can emit harmful sonic waves during rush hour.
FAKE,Drinking tea after 10 PM attracts negative energy.
FAKE,Most coffee sold in convenience stores contains tracking nanoparticles.
FAKE,All passports issued after 2024 have mind-control chips.
FAKE,Licking stamps increases your risk of cancer.
FAKE,Malaysia plans to replace Bahasa Melayu with Mandarin in schools by 2030.
FAKE,Turning your phone upside down improves Wi-Fi reception.
FAKE,Eating spicy food during full moons causes hallucinations.
FAKE,Rainwater in Malaysia contains mild tranquilizers to calm the population.
FAKE,All coconut trees in Sabah are secretly monitored by satellites.
FAKE,Taking cold showers during exam season reduces memory.
FAKE,Sleeping near houseplants can cause carbon dioxide poisoning.
FAKE,Wearing black attracts negative spirits after sunset.
FAKE,All escalators in shopping malls are designed to make you shorter over time.
FAKE,Touching a pregnant woman’s belly without permission causes bad luck.
FAKE,All seafood in Malaysia is now genetically modified to include pork DNA.
FAKE,The haze is a cover-up for secret military drills in the sky.
FAKE,Touching cash notes too often weakens your immune system.
FAKE,Microwaving honey turns it toxic.
FAKE,Crows are being trained by foreign governments to spy on Malaysians.
FAKE,Tapping your phone three times unlocks a hidden 'surveillance mode.'
FAKE,Drinking rainwater during thunderstorms strengthens your aura.
FAKE,Left-handed people are more likely to be abducted by aliens.
FAKE,Shoes made with synthetic soles block your connection to the Earth’s energy.
FAKE,Vaccines are used to implant false memories.
FAKE,Taking too many selfies with cats can distort your face symmetry.
FAKE,QR codes contain subliminal advertising that controls your spending.
FAKE,Malaysia plans to ban chewing gum again to stop protests.
FAKE,Public buses emit sounds only detectable by children and animals.
FAKE,Sleeping with mirrors in the room attracts interdimensional beings.
FAKE,Tap water after midnight is chemically different and shouldn’t be consumed.
FAKE,Every vehicle in Malaysia is secretly tracked via exhaust particles.
FAKE,Watching horror movies alone can attract real ghosts.
FAKE,Folding your IC in half deactivates the government chip inside.
FAKE,Wearing too much perfume confuses your body’s natural pheromones.
FAKE,Certain patterns on batik can trigger hypnotic states.
FAKE,Laptops emit 'silent frequencies' that can change your political views.
FAKE,All supermarket barcodes contain hidden satanic messages.
